# Hand-authored mnemonics, one per compound kanji.
#
# Read by tools/build_kanji_components.py, which checks that every line here
# actually uses each of its kanji's component keywords and warns about any
# that don't. A kanji with no line here falls back to the mechanical
# arrangement template in that script.
#
# House rules for writing one:
#   * Name every component by the keyword it carries in
#     component-keywords.tsv, spelled exactly the same way, so a learner
#     meets the same word for that shape everywhere it appears.
#   * Say where the parts sit — above, below, beside, inside, wrapped
#     around, hanging over. The arrangement is half of what is being learnt.
#   * Land on the kanji's own meaning. One or two sentences, no more.
#   * Written from the component keywords and nothing else. No mnemonic
#     source was consulted for any line in this file — see
#     kanji-mnemonic-plan.md §2.4 and §2.6.4.
#
# Columns: kanji <TAB> mnemonic
#
# ---- grade 1 ----
休	A person has stopped beside a tree, back against the bark. That is what rest looks like.
六	A lid clamped down over eight: squash two out and six is what is left.
千	One slash laid across ten, and ten swells into a thousand.
名	Evening falls, too dark to see a face, so the mouth underneath calls out a name.
四	An enclosure with legs kicking about inside it — four walls, four legs, four.
天	One flat line resting on top of someone big: even the biggest of us has sky above.
字	A child under a roof, bent over a desk, practising one character at a time.
文	A lid, and under it a cut scratched into the surface. That scratch is writing.
早	The sun is already ten hands above the horizon, so you are up early.
村	Trees on the left, measure on the right: pace out the trees and you have a village.
校	A tree on the left, mix on the right: wooden desks where children mix together all day. School.
森	One tree standing over a whole grove below it — a forest.
気	Steam curling round a cut in the lid — the invisible spirit rising out of the pot.
男	A rice field, and beneath it the strength that works it: the man in the fields.
町	Rice fields on the left, a nail on the right, pinning them into neat blocks. A town.
百	One stroke laid on top of white: a hundred blank pages waiting.
空	Craft a hole wide enough and what is left above you is empty sky.
花	Grass on top, and underneath it change: grass that has changed into a flower.
草	Grass on top and early below — grass is up first thing every morning.
見	An eye up on two legs, walking about to see.
貝	An eye with eight little legs scuttling under it: a shellfish.
足	A mouth above, stop below. The foot carries you and knows when to halt.
青	A sprout below the moon takes on a cold blue.
音	Stand up in the sun and let out a sound.
# ---- grade 2 ----
交	A lid over father, and the whole household gathers underneath to mingle.
会	One person standing above a cloud of others — a meeting.
体	A person beside their own origin: the body you started out in.
何	A person on the left, can on the right. A person asking whether they can — what?
作	A person who suddenly starts making things.
元	Two lines resting on a pair of legs: stand up straight at the beginning.
兄	A mouth up on legs, telling you what to do. Your elder brother.
光	Small sparks scattered over something lofty: light.
公	Eight arms prying open what is private below, and it becomes public.
冬	A winter's foot dragging over two chips of ice.
分	Eight above, a sword below. Everything gets cut into parts.
切	Seven strokes beside a sword: cut.
友	One hand reaching round to clasp another hand inside it. Friends.
古	A story ten mouths have passed along — it has to be old by now.
台	Something private held up over a mouth: set it on a pedestal.
同	An open box enclosing one mouth, and everyone in it says the same thing.
回	A mouth inside an enclosure, going round and round: one more time.
図	Small cuts scratched inside an enclosure. That is a map.
国	A jewel walled up inside an enclosure: a country.
園	An enclosure you stroll around in a long robe. The garden.
地	Earth on the left, a snake sliding over it on the right: the ground.
場	Earth with sunbeams falling across it — an open place.
外	Evening on the left, fortune-telling on the right: read the omens outside.
太	Big already, and one dot more underneath. Plump.
妹	A woman not yet grown: your younger sister.
姉	The woman who takes you to market. Your elder sister.
室	Arrive under a roof and you have reached the room.
家	A pig under the roof. That, historically, is a house.
寺	Earth measured out by the inch: the temple grounds.
岩	A mountain sitting on top of a stone. A boulder.
市	A lid over a cloth stall: the market.
帰	Put down the knife, pick up the broom. You have come home.
広	A lean-to hanging over something private, with room to spare underneath. Wide.
店	Divination under a lean-to roof: a shop with a fortune-teller out front.
引	A bow on the left, a straight line on the right, drawn back. Pull.
当	Small marks over a hand, and the hand lands on the right one. A hit.
形	Level lines on the left, hair strokes trailing on the right: shape.
思	A rice field above a heart, ploughing the same row over and over. Think.
教	Filial piety on the left, a light strike on the right. That is teaching.
数	Strike an entangled heap apart and count what falls out. Number.
明	Sun beside moon. Nothing is brighter.
星	A little sun that comes to life only at night: a star.
時	The sun beside the Buddhist temple bell — that is how you tell the time.
晴	Sun beside blue and the weather clears up.
曜	The sun with a pheasant beside it, one bird for each weekday.
書	A brush above the sun: write until the light goes.
歩	Stop on top, a few more below. Stop, a few more, stop again. Walking.
池	Water with a snake winding through it: the pond.
汽	Water on the left, steam on the right. Vapour.
活	Water on the tongue and suddenly you are lively again.
海	Every drop of water there is, gathered in one place: the sea.
点	Divination over a fire, and the flame leaves little scorch spots.
理	A king beside his village, putting everything in its place. Logic.
番	Divide the rice field below and everyone takes a turn on their strip.
知	An arrow flying straight out of the mouth: you know it.
社	An altar beside earth, and everyone in the district belongs to it. A company.
秋	Grain on the left, fire on the right, burning off the stubble. Autumn.
科	Grain measured out with a dipper and sorted into departments.
答	Bamboo slips joined together underneath: the answer.
紙	Thread beaten flat for the whole clan to write on. Paper.
細	Thread laid across a rice field, and every furrow looks thin beside it.
組	Thread beside a pile of it, braided together into a group.
絵	Threads meeting on cloth: a picture.
線	Thread running on and on like a spring: a line.
聞	An ear inside the gate, listening to everyone who comes through.
船	A boat beside the marsh: a ship.
色	A bending person over a coil, and the colour rises in their face.
計	Words beside ten: count it out and you have a plan.
記	Words beside self: write down what happened to you.
話	Words and a tongue together: a tale.
語	Words for I, words for you — language.
読	Words beside sell: read the label before you buy.
買	A net thrown over shells, and shells are money. Buy.
走	Earth above, stop below. Run across the ground until you stop.
近	A road wrapped round an axe, close enough to fetch it. Near.
通	A road wrapped round a walled path — go straight through.
週	A road wrapped round a circuit: seven days, and back where you started. A week.
道	A road wrapping round a neck, leading you on. The way.
遠	A road wrapped round a long robe, the hem trailing off into the distance. Far.
